INDEX,FLARE_START,FLARE_PEAK,FLARE_END,CLASS,AIA_LOC,AIA_XCEN,AIA_YCEN,LOC,NOAA_AR,RSI_OBSERVED,RSI_FLARE_TRIGGERED,RSI_FRAC_OBS,RSI_FRAC_OBS_RISE,RSI_FRAC_OBS_FALL,FERMI_OBSERVED,FERMI_FRAC_OBS,FERMI_FRAC_OBS_RISE,FERMI_FRAC_OBS_FALL,MEGSA_OBSERVED,MEGSB_OBSERVED,MEGSB_FRAC_OBS,MEGSB_FRAC_OBS_RISE,MEGSB_FRAC_OBS_FALL,EIS_OBSERVED,EIS_FRAC_OBS,EIS_FRAC_OBS_RISE,EIS_FRAC_OBS_FALL,XRT_OBSERVED,XRT_RISE_OBSERVED,XRT_FALL_OBSERVED,SOT_OBSERVED,SOT_RISE_OBSERVED,SOT_FALL_OBSERVED,IRIS_OBSERVED,IRIS_FRAC_OBS,IRIS_FRAC_OBS_RISE,IRIS_FRAC_OBS_FALL,gstart,gpeak,gend,gclass,contrasts,sxr_max,sxrderivmax_t,sxrderivmax,tempmax_t,tempmax,tempderivmax_t,tempderivmax,emismax_t,emismax,emisderivmax_t,emisderivmax
4959,2012-07-02 19:59:00,2012-07-02 20:07:00,2012-07-02 20:13:00,M3.8,S14W00,0.0,-325.567,S17W01,11515.0,1,1,0.92381,1.0,0.822222,0,0.0,0.0,0.0,1,1,1.0,1.0,1.0,0,0.0,0.0,0.0,1,1,1,0,0,0,0,0.0,0.0,0.0, 2-Jul-2012 19:59:00, 2-Jul-2012 20:07:00, 2-Jul-2012 19:59:00,M3.8,10.3603,5.49602e-05,249.853,3.5649e-07,335.87,15.9072,159.743,0.0704853,559.1,2.08251,249.853,0.0123747
4964,2012-07-02 23:49:00,2012-07-02 23:56:00,2012-07-03 00:12:00,M2.0,S13W01,31.7812,-310.24,S16W02,11515.0,1,1,0.611594,0.0,0.879167,1,1.0,1.0,1.0,1,1,0.478261,1.0,0.25,0,0.0,0.0,0.0,1,1,1,0,0,0,0,0.0,0.0,0.0, 2-Jul-2012 23:49:00, 2-Jul-2012 23:56:00, 2-Jul-2012 23:49:00,M2.0,11.232,3.00227e-05,255.996,1.80064e-07,321.533,13.2344,245.756,0.0461811,438.27,1.26037,255.996,0.00695688
5041,2012-07-06 23:01:00,2012-07-06 23:08:00,2012-07-06 23:14:00,X1.1,S11W56,789.56,-241.564,,11515.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,1,1,0,0,0,0,0.0,0.0,0.0, 6-Jul-2012 23:01:00, 6-Jul-2012 23:08:00, 6-Jul-2012 23:01:00,X1.1,11.8557,0.000163487,337.92,1.6608e-06,370.69,19.9204,270.336,0.112719,475.136,5.82581,356.353,0.0501376
5797,2012-10-23 03:13:00,2012-10-23 03:17:00,2012-10-23 03:21:00,X1.8,S13E58,-798.345,-261.596,,11598.0,1,1,0.858333,0.721311,1.0,1,1.0,1.0,1.0,1,0,0.0,0.0,0.0,1,0.995833,0.991667,1.0,1,1,1,1,1,1,0,0.0,0.0,0.0,23-Oct-2012 03:13:00,23-Oct-2012 03:17:00,23-Oct-2012 03:13:00,X1.8,11.3758,0.000243038,172.03,3.93073e-06,190.46,20.3325,106.493,0.399791,260.093,7.55507,169.98,0.125207
8138,2013-10-22 21:15:00,2013-10-22 21:20:00,2013-10-22 21:22:00,M4.2,N03W00,0.0,-20.9078,N04W01,11875.0,1,1,0.12381,0.171053,0.0,1,1.0,1.0,1.0,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,22-Oct-2013 21:15:00,22-Oct-2013 21:20:00,22-Oct-2013 21:15:00,M4.2,10.4727,6.57864e-05,255.997,1.22003e-06,276.477,15.849,192.51,0.150674,313.34,2.4151,255.997,0.0399089
8151,2013-10-24 00:21:00,2013-10-24 00:30:00,2013-10-24 00:35:00,M9.3,S09E10,-166.093,-235.24,S10E08,11877.0,0,0,0.0,0.0,0.0,1,1.0,1.0,1.0,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,24-Oct-2013 00:21:00,24-Oct-2013 00:30:00,24-Oct-2013 00:21:00,M9.3,12.9093,0.00013466,417.79,5.36866e-07,442.367,15.3913,159.743,0.0410777,643.07,5.14851,417.79,0.0177814
8217,2013-10-28 15:07:00,2013-10-28 15:15:00,2013-10-28 15:21:00,M4.4,S05E28,-452.522,-170.864,,11882.0,1,1,1.0,1.0,1.0,0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0,1,1,0,1,0,0.0,0.0,0.0,28-Oct-2013 15:07:00,28-Oct-2013 15:15:00,28-Oct-2013 15:07:00,M4.4,11.0532,6.35282e-05,202.75,2.35167e-07,301.054,14.4624,219.134,0.0275479,587.767,2.72464,176.127,0.00761548
8281,2013-11-05 22:07:00,2013-11-05 22:12:00,2013-11-05 22:15:00,X3.3,S11E44,-659.41,-247.36,S12E46,11890.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0, 5-Nov-2013 22:07:00, 5-Nov-2013 22:12:00, 5-Nov-2013 22:07:00,X3.3,19.657,0.000552959,276.48,1.00992e-05,294.91,22.068,231.423,0.422496,354.303,16.9292,276.48,0.2872
8310,2013-11-08 04:20:00,2013-11-08 04:26:00,2013-11-08 04:29:00,X1.1,S11E13,-213.08,-276.544,S14E15,11890.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,1,0.988889,0.983333,1.0,1,1,1,1,1,1,0,0.0,0.0,0.0, 8-Nov-2013 04:20:00, 8-Nov-2013 04:26:00, 8-Nov-2013 04:20:00,X1.1,15.936,0.000175306,270.333,3.08692e-06,286.72,19.8665,229.376,0.214549,358.4,5.93643,258.046,0.0951199
8331,2013-11-10 05:08:00,2013-11-10 05:14:00,2013-11-10 05:18:00,X1.1,S11W13,213.188,-273.105,S14W13,11890.0,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1,0,0.0,0.0,0.0,1,0.99,0.991667,0.9875,1,1,1,1,1,1,0,0.0,0.0,0.0,10-Nov-2013 05:08:00,10-Nov-2013 05:14:00,10-Nov-2013 05:08:00,X1.1,18.1239,0.000163985,258.046,1.81909e-06,274.43,17.436,172.03,0.136094,385.02,5.69641,286.716,0.0619415
