time,6-12 keV,12-25 keV,25-50 keV,50-100 keV,100-300 keV,300-800 keV
09/11/13 05:05,75.4595,412.577,283.953,168.069,156.064,45.3247
09/11/13 05:05,68.3509,429.704,279.528,164.63,162.915,45.8123
09/11/13 05:05,71.0538,428.038,291.075,169.549,154.848,46.7975
09/11/13 05:05,77.4046,405.884,277.775,164.117,144.031,38.2124
09/11/13 05:05,72.5132,403.967,285.153,181.528,149.436,44.0959
09/11/13 05:05,73.011,427.286,302.579,159.007,160.232,45.8156
09/11/13 05:05,71.5395,426.052,292.528,165.129,150.919,40.1797
09/11/13 05:05,71.2893,406.177,284.422,159.972,148.948,48.7511
09/11/13 05:05,70.555,419.655,288.099,168.303,150.909,46.3017
09/11/13 05:05,75.2161,426.552,298.66,174.198,150.677,46.0607
09/11/13 05:06,73.7335,392.184,293.219,170.493,155.551,45.5629
09/11/13 05:06,76.4287,414.234,278.034,156.287,151.878,42.1338
09/11/13 05:06,72.0257,407.901,275.853,169.53,163.405,45.3223
09/11/13 05:06,71.2802,396.818,285.366,165.831,141.336,52.4192
09/11/13 05:06,75.2129,413.304,296.687,171.985,146.261,51.6936
09/11/13 05:06,66.8756,407.623,286.365,165.597,153.593,51.4427
09/11/13 05:06,73.9908,421.649,303.068,173.952,152.882,47.0405
09/11/13 05:06,74.2232,405.41,286.604,167.798,134.484,41.3984
09/11/13 05:06,66.3906,431.417,284.181,162.669,149.93,50.9566
09/11/13 05:06,68.837,399.794,296.906,167.316,150.168,49.4843
09/11/13 05:06,71.0418,404.203,297.396,165.846,145.023,41.4002
09/11/13 05:06,67.1225,404.695,304.501,164.867,142.084,41.8903
09/11/13 05:06,68.5933,403.476,295.196,177.853,138.412,41.156
09/11/13 05:06,69.0821,405.184,307.93,156.782,150.658,43.605
09/11/13 05:06,62.4639,399.279,281.455,171.469,148.199,51.1959
09/11/13 05:07,74.2227,391.2,286.357,169.512,146.241,44.5826
09/11/13 05:07,79.853,384.078,282.18,160.931,142.315,48.0098
09/11/13 05:07,73.7353,414.975,289.552,165.108,155.065,48.9935
09/11/13 05:07,74.2181,399.259,284.87,157.744,146.966,48.7439
09/11/13 05:07,72.5137,417.689,291.77,182.019,145.027,47.0359
09/11/13 05:07,62.7139,426.259,292.502,168.544,151.15,49.9752
09/11/13 05:07,64.1825,424.291,288.576,170.99,143.553,42.625
09/11/13 05:07,73.2493,411.813,292.997,170.017,157.033,44.3416
09/11/13 05:07,70.5477,406.384,280.721,171.715,149.179,47.7667
09/11/13 05:07,81.3281,404.191,281.954,166.821,143.549,47.0331
09/11/13 05:07,65.4004,400.73,282.422,159.704,143.048,43.1104
09/11/13 05:07,76.6674,408.811,275.317,159.459,143.047,46.0495
09/11/13 05:07,66.6247,400.483,288.299,156.519,143.537,48.009
09/11/13 05:07,64.4259,407.867,279.261,174.905,145.999,46.5434
09/11/13 05:08,72.2612,400.988,272.143,176.366,148.197,44.5815
09/11/13 05:08,67.3549,395.067,283.38,156.508,146.221,46.2912
09/11/13 05:08,72.016,412.745,279.491,167.058,149.911,45.0712
09/11/13 05:08,73.4864,416.423,274.104,156.771,151.137,46.0515
09/11/13 05:08,69.8185,426.26,303.037,165.605,147.231,46.0557
09/11/13 05:08,70.7908,401.965,293.451,167.301,144.276,43.3563
09/11/13 05:08,71.5281,414.961,277.539,157.019,146.241,42.6229
09/11/13 05:08,71.7654,415.897,275.305,157.982,142.796,42.8633
09/11/13 05:08,72.0205,417.425,278.038,165.108,152.125,49.7284
09/11/13 05:08,72.265,410.318,286.365,170.741,150.409,41.6442
09/11/13 05:08,73.2368,390.678,270.658,167.049,147.943,45.3137
09/11/13 05:08,73.729,406.857,291.977,157.011,141.824,37.7218
09/11/13 05:08,66.6245,391.174,289.033,166.071,151.375,38.4561
09/11/13 05:08,78.139,395.839,290.755,168.77,134.477,40.6617
09/11/13 05:08,68.096,407.106,277.528,157.993,146.235,43.1111
09/11/13 05:09,72.5094,399.781,292.732,167.555,142.324,45.8083
09/11/13 05:09,61.9638,367.864,278.715,157.236,146.95,41.1459
09/11/13 05:09,67.1126,399.002,270.41,164.108,153.33,48.7424
09/11/13 05:09,68.0924,394.348,283.882,158.719,152.596,48.9873
09/11/13 05:09,62.7044,378.186,278.741,171.212,149.903,51.1923
09/11/13 05:09,68.341,391.92,277.038,166.566,143.541,42.6213
09/11/13 05:09,63.1875,365.655,284.834,163.602,136.416,39.186
09/11/13 05:09,64.1669,378.633,275.771,152.58,141.314,47.268
09/11/13 05:09,65.1508,375.23,265.502,170.47,153.57,42.3725
09/11/13 05:09,61.7188,354.638,278.959,158.706,150.378,40.901
09/11/13 05:09,56.5702,379.828,262.28,149.629,137.63,49.4683
09/11/13 05:09,65.8807,367.854,270.38,152.089,154.048,46.2879
09/11/13 05:09,67.3481,361.965,274.29,156.982,128.574,41.6333
