GEV_START,GEV_PEAK,GEV_END,GOES_CLASS,AIA_LOC,AIA_XCEN,AIA_YCEN
"2011-01-15T10:25:00","2011-01-15T10:28:00","2011-01-15T10:32:00","B2.8","N23E92",-896.274,383.497
"2011-01-15T12:22:00","2011-01-15T12:25:00","2011-01-15T12:25:00","B2.2","N24E92",-889.488,399.022
"2011-01-15T13:28:00","2011-01-15T13:33:00","2011-01-15T13:36:00","B2.3","N23E92",-889.098,389.851
"2011-01-15T13:28:00","2011-01-15T13:36:00","2011-01-15T13:39:00","B2.3","N23E92",-896.267,383.498
"2011-01-15T14:13:00","2011-01-15T14:19:00","2011-01-15T14:23:00","C1.1","N24E92",-889.482,399.022
"2011-01-15T17:44:00","2011-01-15T18:09:00","2011-01-15T18:22:00","B1.7","N22E92",-893.286,375.551
"2011-01-15T21:09:00","2011-01-15T21:15:00","2011-01-15T21:15:00","B2.7","N22E92",-890.736,376.853
"2011-01-15T22:32:00","2011-01-15T22:38:00","2011-01-15T22:38:00","B3.3","N26E92",-868.080,435.969
"2011-01-15T23:43:00","2011-01-15T23:48:00","2011-01-15T23:52:00","B5.7","N23E91",-884.838,379.421
"2011-01-16T10:39:00","2011-01-16T10:48:00","2011-01-16T11:11:00","B1.4","N24E81",-865.377,385.878
"2011-01-16T12:37:00","2011-01-16T12:41:00","2011-01-16T12:41:00","B1.5","N26E80",-847.998,418.071
"2011-01-16T15:41:00","2011-01-16T15:44:00","2011-01-16T15:46:00","B2.4","N24E73",-839.093,377.785
"2011-01-16T18:41:00","2011-01-16T18:45:00","2011-01-16T18:45:00","B1.6","N27E78",-837.972,420.634
"2011-01-17T03:26:00","2011-01-17T03:29:00","2011-01-17T03:32:00","B1.1","N28E72",-808.464,426.860
"2011-01-17T06:26:00","2011-01-17T06:34:00","2011-01-17T06:34:00","B4.1","N28E68",-787.776,430.467
"2011-01-17T09:40:00","2011-01-17T09:44:00","2011-01-17T09:44:00","B1.5","N28E61",-745.614,422.089
"2011-01-17T11:53:00","2011-01-17T12:00:00","2011-01-17T12:00:00","B3.4","N28E63",-754.224,421.048
"2011-01-17T12:49:00","2011-01-17T12:55:00","2011-01-17T12:55:00","B2.9","N29E64",-756.822,435.223
"2011-01-17T13:15:00","2011-01-17T13:19:00","2011-01-17T13:21:00","B2.6","N29E64",-756.821,435.236
"2011-01-17T17:09:00","2011-01-17T17:19:00","2011-01-17T17:20:00","B2.2","S18W25",395.867,-378.014
"2011-01-17T20:26:00","2011-01-17T20:29:00","2011-01-17T20:32:00","B1.4","N31E61",-719.310,468.871
"2011-01-17T21:45:00","2011-01-17T21:51:00","2011-01-17T22:00:00","B5.9","N29E61",-731.154,438.829
"2011-01-17T23:24:00","2011-01-17T23:29:00","2011-01-17T23:32:00","B1.1","N30E56",-693.822,443.155
"2011-01-18T01:27:00","2011-01-18T01:29:00","2011-01-18T01:30:00","B1.4","N30E57",-703.476,442.179
"2011-01-18T02:25:00","2011-01-18T02:28:00","2011-01-18T02:31:00","B1.9","N29E55",-689.172,429.089
"2011-01-18T03:12:00","2011-01-18T03:56:00","2011-01-18T04:35:00","B1.9","N37E59",-659.922,544.735
"2011-01-19T02:17:00","2011-01-19T02:23:00","2011-01-19T02:23:00","B1.4","N32E42",-549.982,456.542
"2011-01-19T08:44:00","2011-01-19T08:47:00","2011-01-19T08:47:00","B1.0","N34E36",-469.732,476.505
"2011-01-19T23:36:00","2011-01-19T23:43:00","2011-01-19T23:47:00","B2.5","N34E28",-374.692,481.819
"2011-01-20T14:50:00","2011-01-20T14:57:00","2011-01-20T15:01:00","B4.2","N34E22",-305.693,470.382
"2011-01-20T20:21:00","2011-01-20T20:26:00","2011-01-20T20:27:00","B1.1","N34E06",-94.1621,460.132
"2011-01-20T22:57:00","2011-01-20T23:03:00","2011-01-20T23:06:00","B2.9","N28E09",-145.618,382.753
"2011-01-21T14:24:00","2011-01-21T14:38:00","2011-01-21T14:38:00","C1.4","N29W00",0.00000,384.689
"2011-01-21T15:17:00","2011-01-21T15:19:00","2011-01-21T15:21:00","C1.1","N28W00",0.00000,368.987
"2011-01-21T16:38:00","2011-01-21T16:46:00","2011-01-21T16:46:00","B5.2","N29W00",0.00000,384.818
"2011-01-22T01:09:00","2011-01-22T01:14:00","2011-01-22T01:26:00","B1.7","S26W87",868.344,-439.333
"2011-01-22T01:56:00","2011-01-22T02:00:00","2011-01-22T02:06:00","B1.5","N27W07",114.062,368.962
"2011-01-22T06:25:00","2011-01-22T06:28:00","2011-01-22T06:28:00","B1.4","N26W09",147.171,352.933
"2011-01-22T08:01:00","2011-01-22T08:28:00","2011-01-22T08:48:00","C2.4","N26W09",147.170,353.025
"2011-01-22T11:32:00","2011-01-22T11:38:00","2011-01-22T11:38:00","B3.7","N26W12",179.501,352.697
"2011-01-22T13:13:00","2011-01-22T13:21:00","2011-01-22T13:33:00","B4.3","N25W13",196.540,336.514
"2011-01-22T19:07:00","2011-01-22T19:10:00","2011-01-22T19:17:00","B1.7","N27W16",242.192,367.614
"2011-01-22T22:14:00","2011-01-22T22:26:00","2011-01-22T22:40:00","B2.3","N27W17",257.921,367.377
"2011-01-23T01:10:00","2011-01-23T01:13:00","2011-01-23T01:15:00","B2.3","N34W26",349.119,471.722
"2011-01-23T09:40:00","2011-01-23T09:53:00","2011-01-23T09:53:00","B2.6","N27W24",350.458,364.991
"2011-01-23T11:50:00","2011-01-23T11:53:00","2011-01-23T12:00:00","B2.0","N27W23",335.273,365.668
"2011-01-23T12:25:00","2011-01-23T12:29:00","2011-01-23T12:32:00","B1.4","N26W26",382.472,348.050
"2011-01-23T18:09:00","2011-01-23T18:20:00","2011-01-23T18:33:00","B2.8","N29W61",736.348,427.860
"2011-01-23T23:45:00","2011-01-23T23:50:00","2011-01-23T23:54:00","B1.6","N35W30",402.320,485.133
"2011-01-24T00:49:00","2011-01-24T00:53:00","2011-01-24T00:57:00","B2.2","N35W28",374.541,486.480
"2011-01-24T03:30:00","2011-01-24T03:35:00","2011-01-24T03:41:00","B2.1","N26W33",481.645,359.665
"2011-01-24T05:56:00","2011-01-24T06:15:00","2011-01-24T06:32:00","C1.4","N25W41",575.558,353.606
"2011-01-24T09:51:00","2011-01-24T09:54:00","2011-01-24T09:54:00","B2.3","N25W39",549.540,355.652
"2011-01-24T10:56:00","2011-01-24T11:07:00","2011-01-24T11:13:00","B1.4","N32W32",436.340,454.371
"2011-01-25T03:25:00","2011-01-25T03:28:00","2011-01-25T03:31:00","B1.0","N23W51",686.874,328.975
"2011-01-26T00:31:00","2011-01-26T00:37:00","2011-01-26T00:37:00","B1.5","N22W63",791.720,331.760
"2011-01-26T02:07:00","2011-01-26T02:11:00","2011-01-26T02:14:00","B3.2","N21W62",795.834,315.796
"2011-01-26T04:02:00","2011-01-26T04:06:00","2011-01-26T04:06:00","B2.3","N22W65",808.380,329.112
"2011-01-26T06:51:00","2011-01-26T06:57:00","2011-01-26T06:57:00","B1.8","N21W66",820.584,311.764
"2011-01-26T08:54:00","2011-01-26T08:57:00","2011-01-26T08:57:00","B1.1","N20W70",850.064,306.077
"2011-01-26T15:14:00","2011-01-26T15:18:00","2011-01-26T15:21:00","B2.0","N17W77",899.952,263.244
"2011-01-26T19:14:00","2011-01-26T19:18:00","2011-01-26T19:18:00","B1.3","S21E87",-902.153,-358.650
"2011-01-26T21:19:00","2011-01-26T21:22:00","2011-01-26T21:24:00","B1.0","S18E88",-920.596,-312.531
"2011-01-26T21:43:00","2011-01-26T21:47:00","2011-01-26T21:47:00","B2.7","N13W79",920.094,210.921
"2011-01-26T22:02:00","2011-01-26T22:09:00","2011-01-26T22:12:00","B3.2","N16W83",917.844,257.066
"2011-01-27T02:00:00","2011-01-27T02:12:00","2011-01-27T02:13:00","B4.3","N19W82",900.552,307.286
"2011-01-27T06:45:00","2011-01-27T06:48:00","2011-01-27T06:53:00","B1.1","N15W91",940.170,254.078
"2011-01-27T08:40:00","2011-01-27T08:50:00","2011-01-27T08:53:00","B6.6","N10W91",954.216,178.217
"2011-01-27T11:05:00","2011-01-27T11:16:00","2011-01-27T11:22:00","B1.6","N14W91",940.107,244.266
"2011-01-27T11:53:00","2011-01-27T12:01:00","2011-01-27T12:05:00","C1.2","N12W91",951.415,206.433
"2011-01-27T12:13:00","2011-01-27T12:18:00","2011-01-27T12:18:00","B1.9","N15W91",940.142,254.073
"2011-01-28T00:44:00","2011-01-28T01:03:00","2011-01-28T02:45:00","M1.4","N16W91",935.532,270.341
"2011-01-28T03:31:00","2011-01-28T03:36:00","2011-01-28T03:36:00","B5.2","S17E71",-870.648,-321.309
"2011-01-28T04:02:00","2011-01-28T04:04:00","2011-01-28T04:07:00","B3.4","S17E88",-925.836,-296.305
"2011-01-28T10:05:00","2011-01-28T10:19:00","2011-01-28T10:22:00","C1.5","N15W91",940.032,254.053
"2011-01-28T10:05:00","2011-01-28T10:22:00","2011-01-28T10:30:00","C1.5","S18E82",-904.531,-317.380
"2011-01-28T13:44:00","2011-01-28T13:48:00","2011-01-28T13:48:00","B1.6","S16E69",-866.544,-302.084
"2011-01-28T16:09:00","2011-01-28T16:14:00","2011-01-28T16:14:00","B2.4","S16E66",-844.383,-313.691
"2011-01-28T17:52:00","2011-01-28T17:57:00","2011-01-28T17:57:00","B6.2","S15E65",-843.844,-296.103
"2011-01-29T03:28:00","2011-01-29T03:36:00","2011-01-29T03:36:00","B6.7","S14E61",-816.990,-290.116
"2011-01-29T07:58:00","2011-01-29T08:03:00","2011-01-29T08:07:00","B1.4","N36E86",-772.584,565.990
"2011-01-29T11:47:00","2011-01-29T11:57:00","2011-01-29T11:57:00","B7.3","S14E57",-786.138,-284.308
"2011-01-29T16:27:00","2011-01-29T16:32:00","2011-01-29T16:36:00","B1.8","S13E53",-751.448,-278.795
"2011-01-29T16:53:00","2011-01-29T16:58:00","2011-01-29T17:00:00","B2.8","S13E53",-751.446,-278.781
"2011-01-30T12:01:00","2011-01-30T12:58:00","2011-01-30T13:31:00","B1.3","N10W90",958.181,171.597
"2011-01-30T17:55:00","2011-01-30T18:36:00","2011-01-30T19:09:00","B2.3","N37E71",-730.079,553.862
"2011-01-31T02:10:00","2011-01-31T02:14:00","2011-01-31T02:14:00","B1.0","S13E38",-582.180,-292.324
"2011-01-31T06:12:00","2011-01-31T06:19:00","2011-01-31T06:19:00","B1.3","S12E33",-519.604,-287.248
"2011-01-31T13:51:00","2011-01-31T13:59:00","2011-01-31T14:01:00","B1.7","S11E31",-496.822,-268.785
"2011-01-31T13:51:00","2011-01-31T14:06:00","2011-01-31T14:22:00","B1.7","S12E31",-493.409,-285.105
"2011-01-31T19:01:00","2011-01-31T19:05:00","2011-01-31T19:08:00","B1.0","S08E26",-419.526,-230.690
"2011-01-31T19:57:00","2011-01-31T19:59:00","2011-01-31T20:01:00","B1.5","S12E26",-425.380,-280.713
"2011-01-31T19:57:00","2011-01-31T20:01:00","2011-01-31T20:04:00","B1.5","S08E26",-419.524,-230.647
"2011-02-01T00:09:00","2011-02-01T00:13:00","2011-02-01T00:17:00","B3.0","S09E24",-388.137,-245.518
"2011-02-01T05:48:00","2011-02-01T05:54:00","2011-02-01T05:54:00","B1.8","S09E22",-358.862,-243.904
"2011-02-01T12:27:00","2011-02-01T12:31:00","2011-02-01T12:33:00","B1.4","S13E20",-334.449,-308.320
"2011-02-01T23:06:00","2011-02-01T23:09:00","2011-02-01T23:11:00","B1.1","S08E10",-175.276,-237.230
"2011-02-02T00:27:00","2011-02-02T00:35:00","2011-02-02T00:35:00","B4.1","S07E09",-160.505,-220.277
"2011-02-02T02:44:00","2011-02-02T02:48:00","2011-02-02T03:15:00","B1.1","S05E06",-113.936,-186.043
"2011-02-02T06:14:00","2011-02-02T06:19:00","2011-02-02T06:20:00","B4.1","S09E08",-142.760,-252.807
"2011-02-02T06:14:00","2011-02-02T06:20:00","2011-02-02T06:28:00","B4.1","S09E08",-142.760,-252.807
"2011-02-02T10:20:00","2011-02-02T10:29:00","2011-02-02T10:29:00","B2.0","S08E06",-111.946,-235.627
"2011-02-03T05:51:00","2011-02-03T05:56:00","2011-02-03T06:02:00","B2.6","S07W06",112.629,-218.089
"2011-02-03T17:28:00","2011-02-03T17:35:00","2011-02-03T17:35:00","B2.0","S05E12",-210.241,-185.971
"2011-02-04T01:37:00","2011-02-04T01:43:00","2011-02-04T01:43:00","B2.0","S05E08",-146.206,-184.256
"2011-02-04T03:59:00","2011-02-04T04:10:00","2011-02-04T04:15:00","B1.1","S06E06",-113.275,-200.378
"2011-02-04T07:29:00","2011-02-04T07:39:00","2011-02-04T07:40:00","B2.7","S06E04",-81.0089,-199.849
"2011-02-04T07:29:00","2011-02-04T07:40:00","2011-02-04T07:49:00","B2.7","S06E04",-81.0089,-199.849
"2011-02-04T12:13:00","2011-02-04T12:20:00","2011-02-04T12:26:00","B9.5","S06E02",-48.6439,-199.384
"2011-02-04T17:30:00","2011-02-04T17:36:00","2011-02-04T17:36:00","B1.3","S06W00",0.00000,-199.000
"2011-02-04T19:30:00","2011-02-04T19:39:00","2011-02-04T19:39:00","B6.9","S05W00",16.3103,-182.197
"2011-02-05T00:03:00","2011-02-05T00:07:00","2011-02-05T00:07:00","B3.6","S06W01",32.4352,-198.757
"2011-02-07T10:17:00","2011-02-07T10:20:00","2011-02-07T10:22:00","B1.0","N23W56",738.465,331.536
"2011-02-07T13:31:00","2011-02-07T13:35:00","2011-02-07T13:37:00","B1.9","N23W56",738.450,331.605
