GEV_START,GEV_PEAK,GEV_END,GOES_CLASS,AIA_LOC,AIA_XCEN,AIA_YCEN
"2023-09-30T00:38:00","2023-09-30T00:48:00","2023-09-30T01:04:21","C2.4","S16W62",821.506,-312.001
"2023-09-30T00:55:00","2023-09-30T01:15:00","2023-09-30T01:31:24","C4.2","N14E74",-898.377,219.878
"2023-09-30T03:57:00","2023-09-30T04:09:00","2023-09-30T04:34:00","C7.2","N14E71",-885.654,214.443
"2023-09-30T05:34:00","2023-09-30T05:38:00","2023-09-30T05:44:00","C7.1","S14W64",843.430,-276.834
"2023-09-30T05:44:00","2023-09-30T05:51:00","2023-09-30T05:56:00","C4.0","S14W63",836.498,-278.583
"2023-09-30T05:56:00","2023-09-30T06:00:00","2023-09-30T06:20:00","C8.0","S15W64",839.620,-292.710
"2023-09-30T06:24:00","2023-09-30T06:29:00","2023-09-30T06:51:00","C1.9","S20E43",-619.260,-388.837
"2023-09-30T06:51:00","2023-09-30T06:56:00","2023-09-30T07:02:00","C2.4","N14E70",-880.889,212.675
"2023-09-30T10:40:00","2023-09-30T10:46:00","2023-09-30T10:56:00","C2.6","N10E66",-873.024,140.173
"2023-09-30T11:51:00","2023-09-30T11:57:00","2023-09-30T12:06:00","C9.6","S15W67",858.837,-287.358
"2023-09-30T12:23:00","2023-09-30T12:29:00","2023-09-30T12:36:00","C4.9","N10E66",-873.041,140.197
"2023-09-30T14:05:00","2023-09-30T14:18:00","2023-09-30T14:32:00","C4.0","S23W50",676.898,-439.357
"2023-09-30T14:35:00","2023-09-30T14:44:00","2023-09-30T15:01:22","C5.1","S21E41",-592.137,-406.431
"2023-09-30T15:57:00","2023-09-30T16:07:00","2023-09-30T16:14:00","C6.3","N10E64",-853.606,134.954
"2023-09-30T16:16:00","2023-09-30T16:35:00","2023-09-30T16:52:20","M1.2","N10E65",-860.364,136.709
"2023-09-30T18:04:00","2023-09-30T18:10:00","2023-09-30T18:15:00","C2.4","N14E64",-846.628,202.257
"2023-09-30T18:15:00","2023-09-30T18:25:00","2023-09-30T18:34:00","C4.7","N14E62",-833.076,198.839
"2023-09-30T18:58:00","2023-09-30T19:14:00","2023-09-30T19:31:00","C2.5","S26E45",-615.348,-475.350
"2023-09-30T20:26:00","2023-09-30T20:37:00","2023-09-30T20:55:33","C2.7","N15E62",-829.075,215.133
"2023-09-30T20:26:00","2023-09-30T20:52:00","2023-09-30T20:56:00","C3.2","N17E65",-839.909,252.505
"2023-09-30T21:18:00","2023-09-30T21:38:00","2023-09-30T21:39:00","C6.2","N10E63",-846.644,133.301
"2023-09-30T21:39:00","2023-09-30T21:45:00","2023-09-30T21:52:00","C6.6","S20E35",-521.107,-398.121
"2023-09-30T23:41:00","2023-09-30T23:55:00","2023-10-01T00:13:18","C2.9","N09E60",-826.737,111.696
