GSTART,GEND,GPEAK,CLASS,LOC,NOAA_AR
" 6-Sep-2017 06:17:00"," 6-Sep-2017 06:29:00"," 6-Sep-2017 06:22:00","C1.6","S11W30","12673"
" 6-Sep-2017 07:29:00"," 6-Sep-2017 07:48:00"," 6-Sep-2017 07:34:00","C2.7","S08W33","12673"
" 6-Sep-2017 08:57:00"," 6-Sep-2017 09:17:00"," 6-Sep-2017 09:10:00","X2.2","S07W33","12673"
" 6-Sep-2017 11:53:00"," 6-Sep-2017 12:10:00"," 6-Sep-2017 12:02:00","X9.3","S08W33","12673"
" 6-Sep-2017 15:51:00"," 6-Sep-2017 16:03:00"," 6-Sep-2017 15:56:00","M2.5","S09W38","12673"
" 6-Sep-2017 19:21:00"," 6-Sep-2017 19:35:00"," 6-Sep-2017 19:30:00","M1.4","","12673"
" 6-Sep-2017 23:33:00"," 6-Sep-2017 23:44:00"," 6-Sep-2017 23:39:00","M1.2","",""
