GEV_START,GEV_PEAK,GEV_END,GOES_CLASS,AIA_LOC,AIA_XCEN,AIA_YCEN
"2014-05-23T04:51:00","2014-05-23T04:58:00","2014-05-23T05:04:00","C1.5","S11W31",492.451,-270.553
"2014-05-23T10:34:00","2014-05-23T11:49:00","2014-05-23T12:28:00","C1.1","S04E48",-718.728,-130.462
"2014-05-28T02:07:00","2014-05-28T02:21:00","2014-05-28T02:33:00","C1.7","S18W76",889.233,-323.323
"2014-05-28T03:31:00","2014-05-28T03:37:00","2014-05-28T03:37:00","B7.4","S11W00",0.00000,-291.223
"2014-05-28T06:38:00","2014-05-28T06:41:00","2014-05-28T06:50:00","B6.3","S13W67",866.337,-255.539
"2014-05-29T04:21:00","2014-05-29T04:30:00","2014-05-29T04:40:00","C1.4","S06W46",692.322,-169.808
"2014-05-29T08:42:00","2014-05-29T08:57:00","2014-05-29T09:12:00","B3.4","N08E80",-936.858,131.956
