GSTART,GEND,GPEAK,CLASS,LOC,NOAA_AR
"10-May-2014 06:51:00","10-May-2014 07:30:00","10-May-2014 07:02:00","C8.7","N03E31","12056"
"10-May-2014 08:31:00","10-May-2014 08:48:00","10-May-2014 08:40:00","C2.1","N14E13","12055"
"10-May-2014 09:22:00","10-May-2014 09:47:00","10-May-2014 09:39:00","C2.4","S16W48","12052"
"10-May-2014 18:17:00","10-May-2014 18:28:00","10-May-2014 18:22:00","B9.7","N05E23","12056"
"10-May-2014 18:31:00","10-May-2014 18:53:00","10-May-2014 18:46:00","C1.8","N05E23","12056"
"10-May-2014 21:52:00","10-May-2014 21:59:00","10-May-2014 21:55:00","C1.1","",""
"10-May-2014 23:47:00","11-May-2014 00:01:00","10-May-2014 23:54:00","C4.2","","12055"
"11-May-2014 04:33:00","11-May-2014 04:49:00","11-May-2014 04:43:00","C6.4","S11E44","12058"
"11-May-2014 05:21:00","11-May-2014 05:28:00","11-May-2014 05:25:00","C2.3","N03E31","12056"
"11-May-2014 08:07:00","11-May-2014 08:14:00","11-May-2014 08:10:00","C1.6","N11W01","12055"
"11-May-2014 09:16:00","11-May-2014 09:22:00","11-May-2014 09:20:00","C1.3","N10W00","12055"
"11-May-2014 13:01:00","11-May-2014 13:18:00","11-May-2014 13:11:00","C1.2","N04E11","12056"
"11-May-2014 17:07:00","11-May-2014 17:19:00","11-May-2014 17:14:00","C3.1","N03E07","12056"
"11-May-2014 17:40:00","11-May-2014 17:49:00","11-May-2014 17:44:00","C1.3","","12060"
"11-May-2014 18:40:00","11-May-2014 19:49:00","11-May-2014 19:16:00","C3.4","N05E10","12056"
"12-May-2014 01:33:00","12-May-2014 02:09:00","12-May-2014 01:51:00","C1.8","N06E07","12056"
"12-May-2014 03:15:00","12-May-2014 03:32:00","12-May-2014 03:21:00","C1.3","S17E36","12060"
"12-May-2014 06:25:00","12-May-2014 06:55:00","12-May-2014 06:42:00","C2.3","S04E04","12059"
"12-May-2014 07:23:00","12-May-2014 07:44:00","12-May-2014 07:36:00","C1.5","S17E34","12060"
"12-May-2014 17:56:00","12-May-2014 18:11:00","12-May-2014 18:05:00","C1.1","S19E28","12060"
"12-May-2014 22:09:00","12-May-2014 22:24:00","12-May-2014 22:16:00","C1.0","","12060"
"13-May-2014 09:15:00","13-May-2014 09:23:00","13-May-2014 09:20:00","C1.5","","12056"
"13-May-2014 10:22:00","13-May-2014 10:41:00","13-May-2014 10:30:00","C1.1","","12060"
"13-May-2014 21:53:00","13-May-2014 23:07:00","13-May-2014 22:24:00","C6.8","N06W21","12056"
"14-May-2014 00:49:00","14-May-2014 00:56:00","14-May-2014 00:53:00","C2.8","N10E56","12063"
"14-May-2014 03:25:00","14-May-2014 03:51:00","14-May-2014 03:35:00","C1.6","S14E09","12060"
"14-May-2014 04:37:00","14-May-2014 04:46:00","14-May-2014 04:43:00","C2.1","","12063"
"14-May-2014 06:16:00","14-May-2014 06:25:00","14-May-2014 06:20:00","C1.6","","12063"
"14-May-2014 08:49:00","14-May-2014 09:05:00","14-May-2014 08:56:00","C2.6","","12063"
"14-May-2014 12:15:00","14-May-2014 12:28:00","14-May-2014 12:20:00","C1.5","","12063"
"14-May-2014 12:59:00","14-May-2014 15:28:00","14-May-2014 15:04:00","C8.3","N07W30","12056"
"15-May-2014 02:31:00","15-May-2014 03:18:00","15-May-2014 02:56:00","C5.0","","12058"
"15-May-2014 03:36:00","15-May-2014 03:44:00","15-May-2014 03:40:00","C3.2","","12060"
"15-May-2014 05:26:00","15-May-2014 05:41:00","15-May-2014 05:34:00","C3.2","","12063"
"15-May-2014 12:59:00","15-May-2014 13:12:00","15-May-2014 13:03:00","B8.6","",""
"15-May-2014 14:02:00","15-May-2014 14:11:00","15-May-2014 14:06:00","C1.0","S13W13","12060"
"15-May-2014 19:52:00","15-May-2014 20:17:00","15-May-2014 20:10:00","C1.0","","12056"
"15-May-2014 20:58:00","15-May-2014 21:12:00","15-May-2014 21:08:00","C1.4","","12060"
"16-May-2014 00:04:00","16-May-2014 00:16:00","16-May-2014 00:09:00","C1.8","N05W51","12056"
"16-May-2014 03:26:00","16-May-2014 03:37:00","16-May-2014 03:32:00","C1.3","","12053"
"16-May-2014 05:41:00","16-May-2014 05:59:00","16-May-2014 05:48:00","C1.3","","12056"
"16-May-2014 06:58:00","16-May-2014 07:09:00","16-May-2014 07:04:00","C5.7","N05W55","12056"
"16-May-2014 07:12:00","16-May-2014 07:18:00","16-May-2014 07:16:00","C2.9","","12056"
"16-May-2014 08:57:00","16-May-2014 09:14:00","16-May-2014 09:03:00","B9.4","N11E26","12063"
"16-May-2014 13:26:00","16-May-2014 13:37:00","16-May-2014 13:31:00","C1.5","","12056"
"16-May-2014 20:11:00","16-May-2014 20:24:00","16-May-2014 20:16:00","C2.5","N09E20","12063"
"17-May-2014 02:34:00","17-May-2014 02:48:00","17-May-2014 02:39:00","C3.3","S15E01","12066"
"18-May-2014 02:33:00","18-May-2014 02:45:00","18-May-2014 02:39:00","C1.2","N12E05","12063"
"18-May-2014 06:11:00","18-May-2014 08:59:00","18-May-2014 06:54:00","C3.8","","12056"
"19-May-2014 20:37:00","19-May-2014 21:27:00","19-May-2014 21:10:00","C1.2","","12071"
"20-May-2014 01:11:00","20-May-2014 02:37:00","20-May-2014 01:48:00","C1.9","","12060"
"20-May-2014 16:42:00","20-May-2014 17:01:00","20-May-2014 16:51:00","B9.2","",""
"20-May-2014 21:01:00","20-May-2014 22:01:00","20-May-2014 21:35:00","C1.0","","12071"
"21-May-2014 00:59:00","21-May-2014 02:06:00","21-May-2014 01:38:00","C2.3","S12E64","12071"
"21-May-2014 07:09:00","21-May-2014 07:31:00","21-May-2014 07:23:00","C1.6","S22W63","12066"
"21-May-2014 08:25:00","21-May-2014 08:32:00","21-May-2014 08:29:00","B7.8","S20W61","12066"
"21-May-2014 19:28:00","21-May-2014 19:39:00","21-May-2014 19:34:00","B7.7","","12069"
"22-May-2014 03:04:00","22-May-2014 03:14:00","22-May-2014 03:10:00","C6.4","S19W07","12072"
"22-May-2014 03:41:00","22-May-2014 03:59:00","22-May-2014 03:48:00","B9.2","","12073"
"22-May-2014 13:13:00","22-May-2014 13:33:00","22-May-2014 13:26:00","C1.4","N00W00","12066"
"22-May-2014 22:14:00","22-May-2014 22:23:00","22-May-2014 22:19:00","C1.1","S13E38","12071"
"23-May-2014 04:51:00","23-May-2014 05:04:00","23-May-2014 04:58:00","C1.5","S19W35","12065"
"23-May-2014 10:34:00","23-May-2014 12:28:00","23-May-2014 11:49:00","C1.1","","12068"
"23-May-2014 15:46:00","23-May-2014 15:56:00","23-May-2014 15:51:00","B7.9","","12065"
"23-May-2014 19:31:00","23-May-2014 20:17:00","23-May-2014 19:54:00","B7.3","","12068"
"24-May-2014 01:39:00","24-May-2014 01:51:00","24-May-2014 01:45:00","B8.2","",""
"24-May-2014 04:47:00","24-May-2014 04:56:00","24-May-2014 04:51:00","B8.0","S18W47","12065"
"24-May-2014 06:09:00","24-May-2014 06:28:00","24-May-2014 06:16:00","B8.0","",""
"24-May-2014 07:34:00","24-May-2014 07:40:00","24-May-2014 07:37:00","C1.0","","12065"
"24-May-2014 09:01:00","24-May-2014 09:22:00","24-May-2014 09:14:00","C1.0","","12065"
"24-May-2014 12:28:00","24-May-2014 13:17:00","24-May-2014 13:02:00","C1.1","S21W51","12065"
"24-May-2014 13:30:00","24-May-2014 13:53:00","24-May-2014 13:39:00","C1.0","S21W53","12065"
"24-May-2014 14:04:00","24-May-2014 14:36:00","24-May-2014 14:28:00","C1.3","S16W40","12065"
"24-May-2014 17:50:00","24-May-2014 17:55:00","24-May-2014 17:52:00","C1.0","","12065"
"24-May-2014 18:26:00","24-May-2014 18:44:00","24-May-2014 18:35:00","M1.3","","12065"
"24-May-2014 20:16:00","24-May-2014 20:32:00","24-May-2014 20:24:00","C1.2","","12065"
"24-May-2014 22:32:00","24-May-2014 23:07:00","24-May-2014 22:57:00","C1.6","","12065"
"25-May-2014 17:46:00","25-May-2014 17:59:00","25-May-2014 17:53:00","C2.5","S17W70","12065"
"25-May-2014 21:30:00","25-May-2014 21:54:00","25-May-2014 21:38:00","C2.1","","12065"
"25-May-2014 22:09:00","25-May-2014 22:24:00","25-May-2014 22:18:00","C1.7","","12065"
"25-May-2014 23:14:00","25-May-2014 23:26:00","25-May-2014 23:19:00","C1.2","","12065"
"25-May-2014 23:49:00","26-May-2014 00:04:00","25-May-2014 00:00:00","C3.8","S17W73","12065"
"26-May-2014 04:43:00","26-May-2014 04:54:00","26-May-2014 04:48:00","B8.5","","12065"
"26-May-2014 12:36:00","26-May-2014 12:49:00","26-May-2014 12:41:00","C1.0","","12065"
"26-May-2014 15:52:00","26-May-2014 16:39:00","26-May-2014 16:07:00","C2.1","","12065"
