XCEN,YCEN,FOVX,FOVY
10.90620000000000,-292.3580000000000,2106.57,2106.57
11.06070000000000,-292.2030000000000,2106.57,2106.57
10.98340000000000,-292.2030000000000,2106.57,2106.57
11.06070000000000,-292.3580000000000,2106.57,2106.57
11.13790000000000,-292.2800000000000,394.982,394.982
11.13790000000000,-292.1260000000000,394.982,394.982
11.21520000000000,-292.2800000000000,2106.57,2106.57
11.29240000000000,-292.2800000000000,2106.57,2106.57
11.29240000000000,-292.2800000000000,2106.57,2106.57
11.44690000000000,-292.2800000000000,2106.57,2106.57
11.52420000000000,-292.2800000000000,2106.57,2106.57
11.52420000000000,-292.2030000000000,2106.57,2106.57
11.67870000000000,-292.4350000000000,2106.57,2106.57
11.67870000000000,-292.2800000000000,2106.57,2106.57
11.75590000000000,-292.2030000000000,394.982,394.982
11.75590000000000,-292.3580000000000,394.982,394.982
11.83320000000000,-292.3580000000000,2106.57,2106.57
11.83320000000000,-292.2800000000000,2106.57,2106.57
11.91040000000000,-292.4350000000000,2106.57,2106.57
12.06490000000000,-292.3580000000000,2106.57,2106.57
12.06490000000000,-292.2030000000000,2106.57,2106.57
12.14210000000000,-292.4350000000000,2106.57,2106.57
-39.92280000000000,-22.14550000000000,2106.57,2106.57
-40.00000000000000,-22.14550000000000,2106.57,2106.57
-40.00000000000000,-22.22280000000000,2106.57,2106.57
-40.07720000000000,-22.30000000000000,2106.57,2106.57
-40.00000000000000,-22.22280000000000,2106.57,2106.57
-40.00000000000000,-22.30000000000000,2106.57,2106.57
-40.07720000000000,-22.14550000000000,2106.57,526.643
-40.00000000000000,-22.30000000000000,526.643,2106.57
-39.92280000000000,-22.22280000000000,2106.57,2106.57
-40.00000000000000,-22.22280000000000,2106.57,2106.57
-40.00000000000000,-22.22280000000000,2106.57,2106.57
-40.07720000000000,-22.14550000000000,2106.57,2106.57
-40.07720000000000,-22.22280000000000,2106.57,2106.57
-40.00000000000000,-22.22280000000000,2106.57,2106.57
-23.94000000000000,-30.12720000000000,2113.66,2113.66
-40.07720000000000,-22.22280000000000,2106.57,2106.57
14.30510000000000,-292.2800000000000,2106.57,2106.57
14.30510000000000,-292.4350000000000,394.982,394.982
14.38230000000000,-292.4350000000000,394.982,394.982
14.45960000000000,-292.3580000000000,394.982,394.982
30.51960000000000,-300.1080000000000,396.311,396.311
14.30510000000000,-292.2800000000000,2106.57,2106.57
14.38230000000000,-292.4350000000000,394.982,394.982
14.45960000000000,-292.2800000000000,526.643,526.643
14.45960000000000,-292.2800000000000,526.643,526.643
14.45960000000000,-292.2030000000000,394.982,394.982
14.53680000000000,-292.3580000000000,2106.57,2106.57
14.53680000000000,-292.2800000000000,394.982,394.982
14.53680000000000,-292.3580000000000,526.643,526.643
14.61410000000000,-292.4350000000000,526.643,526.643
14.61410000000000,-292.3580000000000,394.982,394.982
14.61410000000000,-292.3580000000000,2106.57,2106.57
14.61410000000000,-292.2800000000000,394.982,394.982
14.69130000000000,-292.3580000000000,526.643,526.643
14.61410000000000,-292.2800000000000,526.643,526.643
14.76860000000000,-292.3580000000000,394.982,394.982
14.69130000000000,-292.2030000000000,2106.57,2106.57
14.76860000000000,-292.4350000000000,394.982,394.982
14.76860000000000,-292.2800000000000,526.643,526.643
14.76860000000000,-292.3580000000000,526.643,526.643
14.76860000000000,-292.2800000000000,394.982,394.982
14.76860000000000,-292.2030000000000,2106.57,2106.57
14.92310000000000,-292.3580000000000,394.982,394.982
14.84580000000000,-292.2800000000000,394.982,394.982
15.00030000000000,-292.3580000000000,2106.57,2106.57
15.00030000000000,-292.2800000000000,2106.57,2106.57
15.07760000000000,-292.2800000000000,2106.57,2106.57
15.15480000000000,-292.3580000000000,2106.57,2106.57
15.15480000000000,-292.2030000000000,2106.57,2106.57
15.30930000000000,-292.2800000000000,2106.57,2106.57
15.38650000000000,-292.2800000000000,2106.57,2106.57
15.38650000000000,-292.3580000000000,394.982,394.982
15.30930000000000,-292.2800000000000,394.982,394.982
15.46380000000000,-292.3580000000000,2106.57,2106.57
15.46380000000000,-292.1260000000000,2106.57,2106.57
15.54100000000000,-292.3580000000000,2106.57,2106.57
15.61830000000000,-292.1260000000000,2106.57,2106.57
15.77280000000000,-292.4350000000000,2106.57,2106.57
15.77280000000000,-292.3580000000000,2106.57,2106.57
16.00450000000000,-292.3580000000000,2106.57,2106.57
15.92730000000000,-292.2030000000000,2106.57,2106.57
16.00450000000000,-292.3580000000000,394.982,394.982
16.00450000000000,-292.3580000000000,394.982,394.982
16.08180000000000,-292.3580000000000,2106.57,2106.57
16.15900000000000,-292.2800000000000,2106.57,2106.57
16.15900000000000,-292.3580000000000,2106.57,2106.57
16.23630000000000,-292.4350000000000,2106.57,2106.57
16.39080000000000,-292.3580000000000,2106.57,2106.57
16.46800000000000,-292.2800000000000,2106.57,2106.57
16.46800000000000,-292.2030000000000,2106.57,2106.57
16.62250000000000,-292.3580000000000,2106.57,2106.57
16.62250000000000,-292.4350000000000,394.982,394.982
16.69980000000000,-292.2800000000000,394.982,394.982
16.69980000000000,-292.2800000000000,2106.57,2106.57
16.77700000000000,-292.3580000000000,2106.57,2106.57
16.85420000000000,-292.2030000000000,2106.57,2106.57
16.85420000000000,-292.2800000000000,2106.57,2106.57
16.93150000000000,-292.2800000000000,2106.57,2106.57
17.00870000000000,-292.2800000000000,2106.57,2106.57
17.00870000000000,-292.2030000000000,2106.57,2106.57
17.24050000000000,-292.2800000000000,394.982,394.982
17.24050000000000,-292.2030000000000,2106.57,2106.57
